id,english,language,pronunciation,description,category,type,image
1554,dont' (prohibition),ngalnga,,,,adverb,
1555,"it looks as if ..., but in fact it is not so.' (counterfactal)",ngalnga,,,,adverb,
1556,"it looks as if ..., but in fact it is not so.' (counterfactal)",ngalnga=gaji ,,,,adverb,
1557,"be kind [to someone], be not cruel [to someone]",ngalnyibi,,,,intransitive,
1558,rules which were imposed on people who had not gone through buramu (a stage of initiation?),ngalnyja,,,,noun,
1559,abergowrie (on herbert river),ngalwagiri,,,,noun,
1560,handle of a shield,ngama,,,,noun,
1561,outside part of minga,ngama,,,,noun,
1562,half.  break. ,ngamba,,,,noun,
1563,break,ngambabi,,,,intransitive,
1564,(another) half,ngambaguman,,,,noun,
1565,"break, split into to halves",ngambanga,,,,transitive,
1566,cuscus,ngambuya,,,,noun,cuscus.jpg
1567,"lap, also belly?",ngami,,,,noun,
1568,carry on the lap or belly,ngamimba,,,,transitive,
1569,on lap,ngamingami,,,,adverb,
1570,woman's breast,ngamun,,,,noun,
1571,"armpit, armpit hair",ngamur,,,,noun,
1572,"armpit, (jalnguy) armpit hair",ngamurray,,,,noun,
1573,we three or more,ngana,,,,pronoun,
1574,"(jalnguy) beard, mustache",ngan.ga,,,,noun,
1575,angry (and not talking),ngan.gurr-ji,,,, ,
1576,angry (and not talking),ngan.gurrngan.gurr,,,,adjective,
1577,woman's name,nganbuyba,,,,noun,
1578,chin,nganggul,,,,noun,
1579,what,ngani,,,, ,
1580,do or become what,nganibi,,,,intransitive,
1581,"how many, how much",nganimbarri,,,,adjective,
1582,howlong (of time),nganimbarrimara,,,,adverb,
1583,"do what to or with [someone, somthing], make what, do how",nganinga,,,,transitive,
1584,"what is over?', 'where is it from?', 'where from?'",nganigandu,,,,adverb,
1585,which way,nganiyal,,,,adverb,
1586,face,nganyi,,,,noun,
1587,woman's name (one of Alf Palmer's daughters: Edith Lenoy),nganyiri,,,,noun,
1588,it is not easy to do,ngara,,,,adverb,
1589,jump be frieghtend ,ngarba,,,,intransitive,
1590,"(jalnguy?) arse, hip, behind, bottom, buttocks",ngarbala,,,,noun,
1591,spirit of a dead woman,ngargala,,,,noun,
1592,body,ngargan,,,,noun,
1593,"quick, very lively",ngaringari,,,,adjective,
1594,do very swiftly (e.g. dance),ngaringaribi,,,,intransitive,
1595,"high, up there (also adj?)",ngarra,,,,adverb,
1596,(used in the word in ngarrambila) vt (class unkown) jalnguy? used only in songs) hear,ngarra or ngarrambi,,,,transitive,
1597,go up,ngarrabi,,,,intransitive,
1598,"on top, above, over",ngarramali,,,,adverb,
1599,turn over (e.g. boat) ,ngarramalinga,,,,transitive,
1600,lift up,ngarranga,,,,transitive,
1601,high up (of motion),ngarrangal,,,,adverb,
1602,(jalnguy?) hear. Cf. ngarrambila,ngarraymbila,,,,transitive,
1603,"fast, quick.",ngarrban,,,,adjective,
1604,"fast, quick, swift (adv ?)",ngarrbanngarrban,,,,adjective,
1605,(jalnguy?) dingo (wild dog),ngarrbu,,,,noun,dingo.jpg
1606,"(jalnguy) (1) ear drum in the ear, (2) mind",ngarrgara,,,,noun,
1607,"forget, lose memory'",ngarrgara burrmubi,,,,intransitive,
1608,deaf,ngarrgara walwa,,,, ,
1609,deaf,ngarrgara walwandan,,,, ,
1610,forget',ngarrgara wula,,,,intransitive,
1611,"bolood, vein",ngarrgun,,,,noun,
1612,make [someone] bleed,ngarrgunnga,,,,transitive,
1613,temple of head,ngarri,,,,noun,
1614,"in vein, unsuccessfully, cannot ..., hard to .. ",ngarru,,,,adverb,
1615,try in vain ,ngarrumba,,,,transitive,
1616,"hear, listen to, understand [ a language ] ",ngawa,,,,transitive,
1617,('hear (vt.1)-reflexive') think,ngawa-gali,,,,transitive,
1618,('vt (1?)-reflexive') think,ngawangawa-gali,,,,transitive,
1619,(pronoun) I ,ngaya,,,,pronoun,
1620,"vine poison, used to intoxicate fish when fishing",ngaygun.gunga,,,,noun,
1621,send or give to me,ngayi,,,,transitive,
1622,"yes, is it so.' (?)",ngayimbani,,,,interj,
1623,place near ingham on herbert river ([almagoro:]),ngayiran,,,,"adjective, intransitive",
1624,(be) thirsty,ngayngga,,,,noun,
1625,"(jirrbal, Girramay ?) urine",,,,, ,
1626,little finger (of hand),ngirny,,,,noun,
1627,tickle,ngirrigimba,,,,transitive,
1628,tickle,ngirrmba,,,,transitive,
1629,"outside, over there, on the other side (of house, etc.)",ngugala,,,,adverb,
1630,"outside, on the otherside, behind",ngugalamali,,,,adverb,
1631,little water snake,nguja,,,,noun,
1632,place name (betweengalbay and wangalgiri),ngulmburujuwarrangurra,,,,noun,
1633,(Girramay?) dark night,ngulmurru,,,,noun,
1634,forehead,ngulu,,,,noun,
1635,stump,nguluburu,,,,noun,
1636,butler bay on palm island,ngulunyjil,,,,noun,
1637,"demthat, (also somtimes) there",nguna,,,,,
1638,"again and again, all the time, every minute",nguna=rru nguna=rru,,,,adverb,
1639,all the time,nguna=rru nguni=rru,,,,adverb,
1640,on that side,ngunamali,,,,adverb,
1641,to that way (direction),ngunangal,,,,adverb,
1642,"point, show",ngunba,,,,transitive,
1643,tell each other/ one another,ngunbawa,,,,intransitive,
1644,"show, guide",ngunbay:nga,,,,transitive,
1645,"(jalnguy?) someone there, over there",ngunduwa,,,,adverb,
1646,"dem there, (also rarely) that",nguni,,,,dem,
1647,over there,nguniguwa,,,,adverb,
1648,over there (someone passes by),ngunimali,,,,adverb,
1649,"here and there, this way and that way and that way, overand over, every minute",nguni-rru nguni=rru,,,,adverb,
1650,over there ??,nguniya,,,,adverb,
1651,(jalnguy?) go,nguniyal,,,,intransitive,
1652,blame,ngunjanga,,,,transitive,
1653,blame,ngunjaynga,,,,transitive,
1654,place near ravenshoe on herbert river (a scruby place),ngunjila,,,,noun,
1655,milk,ngunngun,,,,noun,
1656,(jalnguy?) black,ngunubara,,,,adjective,
1657,spirit,ngunyiny,,,,noun,
1658,"(1) ant bed, ant nest, (2) black soil (country)??",ngunyjira,,,,noun,
1659,"lying down on the belly, semi- raised and with crossed arms ",ngunyju,,,,adverb,
1660,(biri?) black,ngunyu,,,,adjective,
1661,black,ngunyulbara,,,,adjective,
1662,"blacken, paint black",ngunyulbaranga,,,,transitive,
1663,go black,ngunyulbi,,,,intransitive,
1664,green ant,ngurbun,,,,noun,
1665,"be shy, ashamed",ngurgal,,,,intransitive,
1666,"be shy, ashamed, afraid",ngurgali,,,,intransitive,
1667,embarrassed ,ngurgalngurgal,,,,adjective,
1668,very deep,ngurin,,,,adjective,
1669,place on herbert river near abergowrie ,ngurinyjil,,,,noun,
1670,make an undesirable noise inadvertently,ngurmbunba,,,,transitive,
1671,dark one,ngurralbara,,,,noun,
1672,"undesirable noise, a noise which one does not like other people to hear (e.g. when one goes out at night)",ngurrmbun,,,,noun,
1673,make a noise inadvertently,ngurrmbunbi,,,,intransitive,
1674,noisy,ngurrmbunngurrmbun,,,,adjective,
1675,dark one,ngurrulbara,,,,noun,
1676,prickly bush,ngurrungurru,,,,noun,
1677,heel,nguru,,,,noun,
1678,"(Girramay?) darkness, night",ngurugun,,,,"adjective, noun",
1679,move,nguwa,,,,transitive,
1680,"anything (hot stone, meat, bark, etc.) involved in the gabumari",nigirri,,,,noun,
1681,any shell,nin.gin,,,,noun,
1682,pinch (with a nail),ningga,,,,transitive,
1683,louse egg,niwan,,,,noun,
1684,"bark billy can (for carrying water), etc.)",nuba,,,,noun,
1685,bait,nugu,,,,noun,
1686,"see, look at, watch",nyaga,,,,transitive,
1687,"watch, mind, keep and eye on [someone]",nyaganyaga,,,,transitive,
1688,"watch, mind.",nyaganyagari,,,,transitive,
1689,"(1) see ... by means of ..., (2) see [a crowd]",ngagari,,,,transitive,
1690,see or look at each other/ one another,nyagawa,,,,intransitive,
1691,"before, not long ago, for the first time",nyalay,,,,adverb,
1692,"from before, first (husband), etc. ",nyalayngumay,,,,adjective,
1693,(loc: nyalbany-ja ?) story,nyalbay,,,,n.I,
1694,"[in] a story, a torch fell down.' ",nyalbay-jidu-galnggan,,,,noun,
1695,"fighting stick, yam stick",nyalmu,,,,noun,
1696,(jalnguy?) meat. Cf. jalgur,nyalmur,,,,noun,
1697,"(1) dance (2) paint, wet",nyamba,,,,"intransitive, transitive",
1698,dance,nyambabi,,,,intransitive,
1699,"dance to [music], dance with [someone]",nyambari,,,,transitive,
1700,enough, =nyamu,,,,cli,
1701,"not knowing, ignorant",nyandu,,,,adjective,
1702,"do not know,forget",nyandubi,,,,transitive,
1703,not knowing ,nyanduyi,,,,adjective,
1704,"ground, earth",nyani,,,,noun,
1705,heavy (of weight),nyanjabara,,,,adjective,
1706,"flame, light, glare",nyara,,,,noun,
1707,light up (of fire),nyarabi,,,,intransitive,
1708,type of a little bird with big eyes,nyaraga,,,,noun,
1709,"light up, blaze up, burn without smoke",nyaranga,,,,transitive,
1710,go to a light,nyarawubi,,,,intransitive,
1711,(jalnguy?) fall down (-la past tense?),nyarraymbi-la,,,,intransitive,
1712,"beneath, down",nyarraga,,,,adverb,
1713,be/become low down,nyarrgabi,,,,intransitive,
1714,"on the lower side, down below",nyarrgamali,,,,adverb,
1715,"name, word",nyarri,,,,noun,
1716,"no, not",nyawa,,,,adverb,
1717,"be/become nothing, lose somthing",nyawabi,,,,intransitive,
1718,"might be, possibly",nyawagada,,,,adverb,
1719,unnecessary,nyawa=gul,,,,"adverb, adjective",
1720,"cannot gety ..., cannot find",nyawanga,,,,transitive,
1721,go around [ a place ],nyawu,,,,transitive,
1722,spider,nyibu,,,,noun,
1723,sneeze,nyida,,,,intransitive,
1724,"today, directly",nyila,,,,adverb,
1725,"directly, just now (near past), for the first time",nyila=gul,,,,adverb,
1726,"today, for the first time",nyila=guli,,,,adverb,
1727,do .. for the first time,nyilagulnga,,,,transitive,
1728,"new, young",nyilamu,,,,adjective,
1729,"be young, be/become young again, look strange",nyilamubi,,,,intransitive,
1730,"newly, again",nyilangal,,,,adverb,
1731,"directly, just now (near past), for the first time",nyilangungal,,,,adverb,
1732,"today, directly",nyilarru,,,,adverb,
1733,everyday,nyilarru nyilarru,,,,adverb,
1734,"[wait, etc.] until 'very soon', for a while",nyilawubi,,,,intransitive,
1735,"directly, just now (near past), for the first time",nyilay or nyilayi,,,,adverb,
1736,body hair,nyimbar,,,,noun,
1737,quiet,nyimurru,,,,adjective,
1738,"sit, stay",nyina,,,,intransitive,
1739,sit down about,nyinanda,,,,intransitive,
1740,"sit down with/on/in [someone/somthing], mind, marry",nyinari,,,,intransitive,
1741,pinch make .. blunt,nyinda,,,,transitive,
1742,"(1)  safe place (in a hole), (2) inside part of a female private part",nyinya,,,,noun,
1743,(non future suff -l or (be) quiet,nyinyji-l,,,,intransitive,
1744,be or sit quiet,nyinyjili,,,,intransitive,
1745,coolibah ,nyirrbili,,,,noun,
1746,tickle,nyirriginba,,,,transitive,
1747,father-in-law,nyubi,,,,noun,
1748,snot,nyujuy,,,,n.II,
1749,he/she,nyula,,,,pronoun,
1750,spit ,nyumbu,,,,noun,
1751,"moustache, whisker, beard",nyumbul,,,,noun,
1752,smell (not warrungu?),nyumu,,,,transitive,
1753,"do once, do for the first time",nyun.gudunga,,,,transitive,
1754,"one, alone",nyun.gul,,,,adjective,
1755,"do once, [stay] one night",nyun.gulbi,,,,intransitive,
1756,do once,nyun.gulnga,,,,transitive,
1757,"one for each, oone after another, one by one",nyun.gulnyun.gul,,,,adverb,
1758,make [someone/something] his/hers,nyungunga,,,,transitive,
1759,while he is out,nyuninda,,,,,
1760,busy and not looking,nyurrngu,,,,adjective,
1761,"be busy doing somthing and not looking, forget all about it",nyurrngubi,,,,intransitive,
1762,"busy and not looking, not noticing ",nyurrngunyurrngu,,,,adjective,
1763,be busy doing... ,nyurrngunyurrngubi,,,,intransitive,
1764,"busy, looking somewhere else",nyurrnguyi,,,,adjective,
1765,cousin,nyurrundu,,,,noun,
1766,"fork, fork of a tree, everything fork shaped",raba,,,,noun,
1767,"decend, go/come down",ragara,,,,intransitive,
1768,forest ti-tree,ragaraga,,,,noun,
1769,hide,ragi,,,,intransitive,
1770,a bush country on herbert river near kirrama ,ragubanu,,,,noun,
1771,"ankle, achilles tendon",ragul,,,,noun,
1772,many,ralbarra,,,,adjective,
1773,"be lame, be crippled, walk in such a way",ralmba,,,,intransitive,
1774,"bed or strecher, used for carrying a dead body at a funeral (cofin)",ralmbarra,,,,noun,
1775,"log , leaning tree. also adj???",ralnggubiri,,,,noun,
1776,lean,ralnggubiri-jana,,,,intransitive,
1777,stretcher for carrying corps at a funeral,ranba,,,,noun,
1778,gap (of geography),randa,,,,noun,
1779,lazy,rawurra-yi,,,,adjective,
1780,(girramay?) lazy person,rawurran,,,,noun,
1781,girl,rayi,,,,noun,
1782,two girl,rayijarran,,,,noun,
1783,many girls ,rayinba,,,,noun,
1784,Used only in songs) good-looking girl (better then maburra),rayiwulnyju,,,,noun,
1785,spew out,rayja,,,,transitive,
1786,many teenage girls,rayli,,,,noun,
1787,hot stone for cooking,riban,,,,noun,
1788,everything used in the gabumari way of cooking,ribu,,,,noun,
1789,wing,rigul,,,,noun,
1790,lust,rilga,,,,noun,
1791,lustful,rilga-yi,,,,adjective,
1792,be/become lustful,rilgabi,,,,intransitive,
1793,make lustful,rilganga,,,,transitive,
1794,eyebrows,rimbi,,,,noun,
1795,small bank (of river),rimbi,,,,noun,
1796,"heap, a big mob",rimbu,,,,noun,
1797,gather,rimbubi,,,,intransitive,
1798,in a heap,rimbugarra,,,,adverb,
1799,"heap up, collect",rimbunga,,,,transitive,
1800,without notice,rinda,,,,adverb,
1801,"tooth, seed, name",rirra,,,,noun,
1802,any bird,rubiny,,,,noun,
1803,meat,rubiny,,,,noun,
1804,place name (from robert?) ,rubiyid,,,,noun,
1805,"a place of kirrama road, on herbert river",rubu,,,,noun,
1806,"(1) type of big fern called a bull rusher, a type of tall grass in swamp (bull rusher), (2) a lake near herberton, where many rubula grow (wolda lake?) (walters lake?)",rubula,,,,noun,
1807,"sandid (scented?) gum tree in the rain forest, smell one",ruguy,,,,n.I,
1808,(jalnguy?) food,ruja,,,,noun,
1809,"(jalnguy) south, Cf. gulbila",rulbila,,,,noun,
1810,heart,rulgu,,,,noun,
1811,(jalnguy) south cf. gulbila,rulmila,,,,noun,
1812,"(jalnguy) north, cf. gunggarri",runggarri,,,,noun,
1813,"(jalnguy) west, cf. gunggarri",ruwa,,,,noun,
1814,(jalnguy) on top. cf. guwamali,ruwamali,,,,adverb,
1815,(jalnguy) give cf. guyba,ruyba,,,,transitive,
1816,meaning unknown, =wa,,,,cli,
1817,look up and look for (specifically possums),waba,,,,"transitive, intransitive",
1818,smoko creek,wabajal,,,,noun,
1819,"fast, hard, tight",wabarrgarra,,,,adverb,
1820,play about,wada,,,,intransitive,
1821,clap hands slowly,wada-balga,,,,"adverb,transitive",
1822,run,wadali,,,,intransitive,
1823,"make run, take [woman]",wadalinga,,,,intransitive,
1824,play with,wadari,,,,transitive,
1825,lower leg,waga,,,,noun,
1826,"get up rise, climb",waga,,,,transitive,
1827,???,waga-ri,,,,transitive,
1828,sleepy,waga-yi,,,,adjective,
1829,bushy country on herbert river,wagabulan,,,,noun,
1830,flying fox,wagajala,,,,noun,
1831,eel,wagal,,,,noun,
1832,"(1) lift up, pick up; wake up, (2) choose, adopt (a child)",wagamba,,,,transitive,
1833,"get up, ",wagara,,,,intransitive,
1834,long pocket (a place),wagaraba,,,,noun,
1835,get up,wagawa,,,,intransitive,
1836,(loc: waga-ja) wish bone (of a fish),wagay,,,,n.I,
1837,man's name in myth (named after wagay),wagaygurru,,,,noun,
1838,(loc: wagumba-ja) pillow,wagumbay,,,,n.I,
1839,crow,waja,,,,noun,
1840,crow,wajagan,,,,noun,
1841,native bee (smaller then wurriba and gurja),wajan,,,,noun,
1842,testicles,wajila,,,,noun,
1843,"cook, burn, make smoke",waju,,,,transitive,
1844,I cooked,wajul-ngumay,,,,adjective,
1845,I cooked,waju-ngumay,,,,adjective,
1846,"be cooked, burn",wajuli,,,,intransitive,
1847,"cook with (wood), in (fire), etc. ",wajuri,,,,transitive,
1848,burn each other???,wajuwa,,,,transitive,
1849,place on stone river (no one lives there,walba,,,,noun,
1850,man who has intercourse with a relative or other man's wife,walira,,,,noun,
1851,no good,walma,,,,adjective,
1852,no good,walmajarri,,,,adjective,
1853,spoil,walmanga,,,,transitive,
1854,get up,walmba,,,,intransitive,
1855,"wake up, lift up, pick up",walmbi,,,,transitive,
1856,(djabugay?) get up,walmbirri,,,,intransitive,
1857,"breath, ""wind"" (as in short-winded of english), life. (1) eager, keen, in love, (2) tired",walngga,,,,noun,
1858,float (on the water),walngga,,,,intransitive,
1859,"(1) short-winded, tired, (2) fond (of), keen, eager, want",walngga-yi,,,,adjective,
1860,"want, like",walnggabi,,,,intransitive,
1861,bushy area on herbert river,walnggagirra,,,,noun,
1862,make... want to do ... ,walnggayinga,,,,transitive,
1863,place on stone river.,walnyjanbarra,,,,noun,
1864,bellyful,walnyjuwari,,,,adjective,
1865,ear,walu,,,,noun,
1866,"bad, not well, sick, ill ",walwa,,,,adjective,
1867,"be/become bad, go bad, get wild",walwabi,,,,intransitive,
1868,bad not well,walwajarri,,,,adjective,
1869,go bad,walwajarribi,,,,intransitive,
1870,"not well, tired, sick, mad",walwandan,,,,adjective,
1871,"make bad, spoil, make sick",walwanga,,,,transitive,
1872,"stupid, mad",wama,,,,adjective,
1873,get lost,wama,,,,intransitive,
1874,go mad,wamabi,,,,intransitive,
1875,mad,wamal,,,,adjective,
1876,make mad,wamanga,,,,transitive,
1877,"be good, feel well",wamaybi,,,,intransitive,
1878,"be good, feel well",wamaynbi,,,,intransitive,
1879,"good, well, fine, glad, etc.",wamaynbiri,,,,adjective,
1880,be good ,wamaynbiri,,,,intransitive,
1881,feel well,wamaynbiribi,,,,intransitive,
1882,"make good, do in a good way",wamaynb:iringa,,,,transitive,
1883,"make good, do in a good way, tell the truth, cure",wamaynga,,,,transitive,
1884,erect penis,wambawuru,,,,noun,
1885,have an erect penis,wambawurubi,,,,intransitive,
1886,"rest, lean",wambi,,,,intransitive,
1887,"(1) man's name in myth, named after the verb wambi, (2) alec collins fathers name",wambinu,,,,noun,
1888,a language of the west,wamin,,,,noun,
1889,barking (of a dog) ,wan.gar,,,,noun,
1890,"(1) blue pigeon in the scrub, (2) its cry",wan.gawa,,,,noun,
1891,"fear, be frightened ",wanba,,,,intransitive,
1892,frightened ,wanbalbarri,,,,adjective,
1893,be frightened ,wanbalbi,,,,intransitive,
1894,frightened ,wanbalbirri,,,,adjective,
1895,"fear, be frightened ",wanbali,,,,intransitive,
1896,(jalnguy) frightened,wanbaljarri,,,,adjective,
1897,frighten ,wanbalnga,,,,transitive,
1898,"fear, be frightened ",wanbalwanbali,,,,transitive,
1899,frightened ,wanbari,,,,transitive,
1900,"words, news, message",wanda,,,,noun,
1901,"leave (place, work, person), stop",wanda,,,,transitive,
1902,"man killer, man noted for killing, stranger, "" red man""?",wandabarra,,,,noun,
1903,(jalnguy? cf. wadali) run,wandali,,,,intransitive,
1904,moth,wandan,,,,noun,
1905,lose,wandanga,,,,transitive,
1906,leave ... alone,wandara,,,,transitive,
1907,(jalnguy ?) leave??,wandari,,,,transitive,
1908,"leave on each other/ one another, stop fighting",wandawa,,,,intransitive,
1909,"mail man, message man",wandayi,,,,noun,
1910,let go,wandaynga,,,,transitive,
1911,"resst (on somthing), live (in a place)",wandi,,,,intransitive,
1912,hang up,wandi,,,,transitive,
1913,rest on ... ,wandiri,,,,transitive,
1914,shoulder,wandula,,,,noun,
1915,boomerang,wangal,,,,noun,
1916,"the warrungu name of wangalgirra, which is about 1.5 miles from cashmere, (2) a boomerang-shaped gut",wangalgiri,,,,noun,
1917,a place near abergowrie ?? [yelawatalu:] (yellow water),wangalgiri,,,,noun,
1918,"a place on  herbert river, where the river runs in a boomerang-shap (warrgamay name?)",wangalgirra,,,,noun,
1919,lung, a boomerang-shaped gut at the top of the guts (a half-moon shaped gut),wangalnggira,,,,
1920,east,wanggarri,,,,adverb,
1921,persons of the east,wanggarribarra,,,,noun,
1922,"send, look, etc. to the east",wanggarringa,,,,transitive,
1923,small goanna,wanggu,,,,noun,
1924,"place on the herbert river, where there is a big cliff",wanggundila,,,,noun,
1925,"(1) hole (in minga, particularly), (2) well ",wanja,,,,noun,
1926,(jalnguy?) run,wanjali,,,,intransitive,
1927,bony dream,wanngaja,,,,noun,
1928,where,wanyja,,,,adverb,
1929,where from,wanyjabarra,,,,adverb,
1930,"a place along herbert river, in niagara (?) district, between dumbilbulu and giwan ",wanyjalwanyjal,,,,noun,
1931,on or to which side,wanyjamali,,,,adverb,
1932,which one. conj (?) when,wanyjamara,,,,adverb,
1933,when (not warrungu?),wanyjamira (not warrongo),,,,adverb,
1934,"take to where, do how, do what",wanyjanga,,,,transitive,
1935,"where to, whichway; how",wanyjangal,,,,adverb,
1936,"(1) whichway (direction), (2) how",wanyjarri,,,,adverb,
1937,"(1) go which way, (2) do how",wanyjarribi,,,,intransitive,
1938,do how,wanyjarringa,,,,transitive,
1939,which way (directional),wanyjarringal,,,,adverb,
1940,"where to, ?? also where at ??",wanyjarru,,,,adverb,
1941,go where,wanyjarrubi,,,,intransitive,
1942,where to,wanyjarrungal,,,,adverb,
1943,(only used in song) sick and groning,wanyji,,,,adjective,
1944,(only used in song) sick,wanyjibaya,,,,adjective,
1945,who,wanyu,,,,pronoun,
1946,"jump, get up, dive",wara,,,,intransitive,
1947,woman's name (alf palmers wife) (elizabeth palmer),warangan,,,,noun,
1948,jump with [something],warari,,,,transitive,
1949,jump about,warawara,,,,transitive,
1950,jump,waraya,,,,intransitive,
1951,one's own,wara-yi,,,,adjective,
1952,people from the same place,warayi,,,,noun,
1953,be going to jump ,warayi,,,,intransitive,
1954,"[talk, etc.] one's own [language, etc.]",warayibi,,,,intransitive,
1955,"do somthing to one's own..., carry one's own",warayinga,,,,transitive,
1956,people from the same place,warayiwarayi,,,,noun,
1957,"(jalnguy?) hawk, like sparrow hawk. cf. garrgay",warbula,,,,noun,
1958,paddle,waril,,,,noun,
1959,"in the wrong way, not properly, in the wrong direction, cannot... ",warra,,,,adverb,
1960,enough,warrabi,,,,adjective,
1961,put in the wrong place,warrajarga,,,,transitive,
1962,"(suffix of kinship nouns) each one's ... , many ... ",-warray,,,,,
1963,"(all) go away, spread, scatter",warrgarabi,,,,intransitive,
1964,(loc:warrga-ja) place on herbert river and stone river,warrgay,,,,n.I,
1965,sharp,warrjal,,,,adjective,
1966,"raft, boat",warrjan,,,,noun,
1967,the name of a fast leg dance,warrma,,,,noun,
1968,"busy, active, lively",warrmanwarrman,,,,adjective,
1969,"quick, fast",warrmawulu,,,,adjective,
1970,"quick, fast",warrmay,,,,adjective,
1971,thin,warrmba,,,,adjective,
1972,thin (of person),warrmbawarrmba,,,,adjective,
1973,(aboriginal) woman,warrngu,,,,noun,
1974,place on herbert river near abergowrie. 'a woman stands/stood',warrngu-janan,,,,noun,
1975,a man who is greedy for women,warrngujala,,,,noun,
1976,two women,warrngujarran,,,,noun,
1977,many women,warrngunba,,,,noun,
1978,place on herbert river ,warruburan,,,,noun,
1979,shell necklace,warrula,,,,noun,
1980,"the warrungu language, warrungu persons",warrungu,,,,noun,
1981,"(erg: waruga-ju) fishing line, fishing net",warugay,,,,n.I,
1982,"brushtail rock wallaby; gorge wallaby, big and brown, live along a gorge, e.g. of herbert river, with a mark on the face, brushtail wallaby, coast wallaby??",warujala,,,,noun,
1983,(jalnguy?) whistle,warumbi,,,,intransitive,
1984,(probably not warrungu) back (used in a forein song),waruwaru,,,,adverb,
1985,meaning unknown,waya,,,,adverb,
1986,lower leg,wayal,,,,noun,
1987,crippled,wayal-ngamba,,,,"noun, adjective",
1988,"(1) place on herbert river near ravenshoe, (2) place on stone river  ",wayba,,,,noun,
1989,white man,waybala,,,,noun,
1990,be/become or do/behave like a white man,waybalabi,,,,intransitive,
1991,how (is it) ?',wayi,,,,adverb,
1992,dip a tool and get water,wayi,,,,transitive,
1993,"burn, (food) makes ... sick, (1)",wayji,,,,transitive,
1994,fresh water silver bream,wayli,,,,noun,
1995,walk about,waymba,,,,intransitive,
1996,go around,waymbarra,,,,intransitive,
1997,sing out like a dog,wayuwayubi,,,,intransitive,
1998,man's name (one of alf palmer's son: norris palmer),wilbanyu,,,,noun,
1999,wild peanut,wilnyarri,,,,noun,
2000,fish,win.gar,,,,noun,
2001,"club, nullanulla, killing stick, fighting stick",wirrga,,,,noun,
2002,"the last stage of the growth of a grub (jambun), in which it is grown-up and red-yellow",wirrmbany,,,,noun,
2003,tail of a fish,wirrngga,,,,noun,
2004,"one of the stages of grub, in which it has grown up a little",wirru,,,,noun,
2005,(lie down) with legs apart,wubar,,,,adverb,
2006,english bee,wubirri,,,,noun,
2007,"take out, unroll [a swag], postpone, pull down [house], stop [talking], open [mouth], take off [clothes]",wuda,,,,transitive,
2008,put out (fire),wudanga,,,,transitive,
2009,come out,wudara,,,,transitive,
2010,"(1) come out, (2) (instrumental) take out (e.g. cramp from the leg), take away",wudari,,,,intransitive,
2011,"alseep, sleep",wuga,,,,"noun, adjective",
2012,sleep,wuga wuna,,,,intransitive,
2013,sleep,wugabi,,,,intransitive,
2014,for two nights,wugabulari,,,,adverb,
2015,for three nights,wugagarbu,,,,adverb,
2016,"(on) the next day, (on) the day after tomorrow",wugaguman,,,,"noun, adverb",
2017,do... until the next (or another) night,wugaguman.gubi,,,,intransitive,
2018,"night after night, many nights",wugaguman.guman,,,,adverb,
2019,night after night ,wugaguman.guman.guman,,,,adverb,
2020,"camp day after day, night after nght (say, for about one week)",wugaguman.gumanbi,,,,intransitive,
2021,camp for another night,wugagumanbi,,,,intransitive,
2022,"jumping ant, big",wugaburu,,,,noun,
2023,frog in the scrub over the ranger (edible),wugul,,,,noun,
2024,(jalnguy?) eat. Cf. muja,wuja,,,,transitive,
2025,grow up (of child),wuji,,,,intransitive,
2026,"(not warrungu ?)  eagle hawk, carpet snake? (the symbol of a skin group)",wujurru,,,,noun,
2027,"die, wither",wula,,,,intransitive,
2028,(all) are dead,wulanda,,,,intransitive,
2029,"lose, extinguish [fire]",wulanga,,,,transitive,
2030,put out [fire],wulangga,,,,transitive,
2031,might die,wulayi,,,,intransitive,
2032,woman's name,wulbari,,,,noun,
2033,boat,wulgu,,,,noun,
2034,very dence fig-tree country on herbert river,wulmburan,,,,noun,
2035,lance wood (with dark colour),wulmburru,,,,noun,
2036,place on herbert river,wulmirri,,,,noun,
2037,belly,wulu,,,,noun,
2038,breast,wulun,,,,noun,
2039,shade,wuma,,,,noun,
2040,shady,wumawuma,,,,adjective,
2041,(jalnguy. not warrungu) dog,wumbal,,,,noun,
2042,"sit down, have a spell, not work to hard",wumbi,,,,intransitive,
2043,"have a rest, have a spell",wumbilbi,,,,intransitive,
2044,havea spell,wumbili,,,,intransitive,
2045,(jalnguy ?) wommera,wumbun,,,,noun,
2046,stoney creek in abergowrie area,wumbun,,,,noun,
2047,"place between cashmere and gunawarra, between bagur and yirrinyjila 'a wommera drowned.'",wumbun-juyuran,,,,noun,
2048,"big mob who are close together, crowd",wumburru,,,,noun,
2049,wait for [woman],wumirri,,,,intransitive,
2050,"lie, lie down, camp",wuna,,,,intransitive,
2051,camping out,wunaja,,,,"noun, adverb",
2052,camp about,wunaja,,,,intransitive,
2053,camp out,wunajabi,,,,intransitive,
2054,"camp out, sleep all the time",wunajajarri,,,,intransitive,
2055,(jalnguy?) sleep,wunajali,,,,intransitive,
2056,camping about,wunajawunaja,,,,adverb,
2057,camp about,wunajawunajabi,,,,intransitive,
2058,sleep about,wunanda,,,,intransitive,
2059,"sleep with [a woman], sleep in [a house], etc.",wunari,,,,transitive,
