,,,,,,,,
e,Translation,Pronunciation,Description,Category,Word type,Image,Audio,Widget
rules which were imposed on people who had not gone through buramu (a stage of initiation?),ngalnyja,,,,noun,,,
abergowrie (on herbert river),ngalwagiri,,,,noun,,,
handle of a shield,ngama,,,,noun,,,
outside part of minga,ngama,,,,noun,,,
half.  break. ,ngamba,,,,noun,,,
break,ngambabi,,,,intransitive,,,
(another) half,ngambaguman,,,,noun,,,
"break, split into to halves",ngambanga,,,,transitive,,,
cuscus,ngambuya,,,,noun,,,
"lap, also belly?",ngami,,,,noun,,,
carry on the lap or belly,ngamimba,,,,transitive,,,
on lap,ngamingami,,,,adverb,,,
woman's breast,ngamun,,,,noun,,,
"armpit, armpit hair",ngamur,,,,noun,,,
"armpit, (jalnguy) armpit hair",ngamurray,,,,noun,,,
we three or more,ngana,,,,pronoun,,,
"(jalnguy) beard, mustache",ngan.ga,,,,noun,,,
angry (and not talking),ngan.gurr-ji,,,, ,,,
angry (and not talking),ngan.gurrngan.gurr,,,,adjective,,,
woman's name,nganbuyba,,,,noun,,,
chin,nganggul,,,,noun,,,
what,ngani,,,, ,,,
do or become what,nganibi,,,,intransitive,,,
"how many, how much",nganimbarri,,,,adjective,,,
howlong (of time),nganimbarrimara,,,,adverb,,,
"do what to or with [someone, somthing], make what, do how",nganinga,,,,transitive,,,
"what is over?', 'where is it from?', 'where from?'",nganigandu,,,,adverb,,,
which way,nganiyal,,,,adverb,,,
face,nganyi,,,,noun,,,
woman's name (one of Alf Palmer's daughters: Edith Lenoy),nganyiri,,,,noun,,,
it is not easy to do,ngara,,,,adverb,,,
jump be frieghtend ,ngarba,,,,intransitive,,,
"(jalnguy?) arse, hip, behind, bottom, buttocks",ngarbala,,,,noun,,,
spirit of a dead woman,ngargala,,,,noun,,,
body,ngargan,,,,noun,,,
"quick, very lively",ngaringari,,,,adjective,,,
do very swiftly (e.g. dance),ngaringaribi,,,,intransitive,,,
"high, up there (also adj?)",ngarra,,,,adverb,,,
(used in the word in ngarrambila) vt (class unkown) jalnguy? used only in songs) hear,ngarra or ngarrambi,,,,transitive,,,
go up,ngarrabi,,,,intransitive,,,
"on top, above, over",ngarramali,,,,adverb,,,
turn over (e.g. boat) ,ngarramalinga,,,,transitive,,,
lift up,ngarranga,,,,transitive,,,
high up (of motion),ngarrangal,,,,adverb,,,
(jalnguy?) hear. Cf. ngarrambila,ngarraymbila,,,,transitive,,,
"fast, quick.",ngarrban,,,,adjective,,,
"fast, quick, swift (adv ?)",ngarrbanngarrban,,,,adjective,,,
(jalnguy?) dingo (wild dog),ngarrbu,,,,noun,,,
"(jalnguy) (1) ear drum in the ear, (2) mind",ngarrgara,,,,noun,,,
"forget, lose memory'",ngarrgara burrmubi,,,,intransitive,,,
deaf,ngarrgara walwa,,,, ,,,
deaf,ngarrgara walwandan,,,, ,,,
forget',ngarrgara wula,,,,intransitive,,,
"bolood, vein",ngarrgun,,,,noun,,,
make [someone] bleed,ngarrgunnga,,,,transitive,,,
temple of head,ngarri,,,,noun,,,
"in vein, unsuccessfully, cannot ..., hard to .. ",ngarru,,,,adverb,,,
try in vain ,ngarrumba,,,,transitive,,,
"hear, listen to, understand [ a language ] ",ngawa,,,,transitive,,,
('hear (vt.1)-reflexive') think,ngawa-gali,,,,transitive,,,
('vt (1?)-reflexive') think,ngawangawa-gali,,,,transitive,,,
(pronoun) I ,ngaya,,,,pronoun,,,
"vine poison, used to intoxicate fish when fishing",ngaygun.gunga,,,,noun,,,
send or give to me,ngayi,,,,transitive,,,
"yes, is it so.' (?)",ngayimbani,,,,interj,,,
place near ingham on herbert river ([almagoro:]),ngayiran,,,,"adjective, intransitive",,,
(be) thirsty,ngayngga,,,,noun,,,
"(jirrbal, Girramay ?) urine",,,,, ,,,
,NGI,,,, ,,,
little finger (of hand),ngirny,,,,noun,,,
tickle,ngirrigimba,,,,transitive,,,
tickle,ngirrmba,,,,transitive,,,
,,,,, ,,,
,NGU,,,,,,,
"outside, over there, on the other side (of house, etc.)",ngugala,,,,adverb,,,
"outside, on the otherside, behind",ngugalamali,,,,adverb,,,
little water snake,nguja,,,,noun,,,
place name (betweengalbay and wangalgiri),ngulmburujuwarrangurra,,,,noun,,,
(Girramay?) dark night,ngulmurru,,,,noun,,,
forehead,ngulu,,,,noun,,,
stump,nguluburu,,,,noun,,,
butler bay on palm island,ngulunyjil,,,,noun,,,
"demthat, (also somtimes) there",nguna,,,,,,,
"again and again, all the time, every minute",nguna=rru nguna=rru,,,,adverb,,,
all the time,nguna=rru nguni=rru,,,,adverb,,,
on that side,ngunamali,,,,adverb,,,
to that way (direction),ngunangal,,,,adverb,,,
"point, show",ngunba,,,,transitive,,,
tell each other/ one another,ngunbawa,,,,intransitive,,,
"show, guide",ngunbay:nga,,,,transitive,,,
"(jalnguy?) someone there, over there",ngunduwa,,,,adverb,,,
"dem there, (also rarely) that",nguni,,,,dem,,,
over there,nguniguwa,,,,adverb,,,
over there (someone passes by),ngunimali,,,,adverb,,,
"here and there, this way and that way and that way, overand over, every minute",nguni-rru nguni=rru,,,,adverb,,,
over there ??,nguniya,,,,adverb,,,
(jalnguy?) go,nguniyal,,,,intransitive,,,
blame,ngunjanga,,,,transitive,,,
blame,ngunjaynga,,,,transitive,,,
place near ravenshoe on herbert river (a scruby place),ngunjila,,,,noun,,,
milk,ngunngun,,,,noun,,,
(jalnguy?) black,ngunubara,,,,adjective,,,
spirit,ngunyiny,,,,noun,,,
"(1) ant bed, ant nest, (2) black soil (country)??",ngunyjira,,,,noun,,,
"lying down on the belly, semi- raised and with crossed arms ",ngunyju,,,,adverb,,,
(biri?) black,ngunyu,,,,adjective,,,
black,ngunyulbara,,,,adjective,,,
"blacken, paint black",ngunyulbaranga,,,,transitive,,,
go black,ngunyulbi,,,,intransitive,,,
green ant,ngurbun,,,,noun,,,
"be shy, ashamed",ngurgal,,,,intransitive,,,
"be shy, ashamed, afraid",ngurgali,,,,intransitive,,,
embarrassed ,ngurgalngurgal,,,,adjective,,,
very deep,ngurin,,,,adjective,,,
place on herbert river near abergowrie ,ngurinyjil,,,,noun,,,
make an undesirable noise inadvertently,ngurmbunba,,,,transitive,,,
dark one,ngurralbara,,,,noun,,,
"undesirable noise, a noise which one does not like other people to hear (e.g. when one goes out at night)",ngurrmbun,,,,noun,,,
make a noise inadvertently,ngurrmbunbi,,,,intransitive,,,
noisy,ngurrmbunngurrmbun,,,,adjective,,,
dark one,ngurrulbara,,,,noun,,,
prickly bush,ngurrungurru,,,,noun,,,
heel,nguru,,,,noun,,,
"(Girramay?) darkness, night",ngurugun,,,,"adjective, noun",,,
move,nguwa,,,,transitive,,,
,,,,,,,,
,NI,,,,,,,
"anything (hot stone, meat, bark, etc.) involved in the gabumari",nigirri,,,,noun,,,
any shell,nin.gin,,,,noun,,,
pinch (with a nail),ningga,,,,transitive,,,
louse egg,niwan,,,,noun,,,
,,,,,,,,
,NU,,,,,,,
"bark billy can (for carrying water), etc.)",nuba,,,,noun,,,
bait,nugu,,,,noun,,,
,,,,,,,,
,NYA,,,,,,,
"see, look at, watch",nyaga,,,,transitive,,,
"watch, mind, keep and eye on [someone]",nyaganyaga,,,,transitive,,,
"watch, mind.",nyaganyagari,,,,transitive,,,
"(1) see ... by means of ..., (2) see [a crowd]",ngagari,,,,transitive,,,
see or look at each other/ one another,nyagawa,,,,intransitive,,,
"before, not long ago, for the first time",nyalay,,,,adverb,,,
"from before, first (husband), etc. ",nyalayngumay,,,,adjective,,,
(loc: nyalbany-ja ?) story,nyalbay,,,,n.I,,,
"[in] a story, a torch fell down.' ",nyalbay-jidu-galnggan,,,,noun,,,
"fighting stick, yam stick",nyalmu,,,,noun,,,
(jalnguy?) meat. Cf. jalgur,nyalmur,,,,noun,,,
"(1) dance (2) paint, wet",nyamba,,,,"intransitive, transitive",,,
dance,nyambabi,,,,intransitive,,,
"dance to [music], dance with [someone]",nyambari,,,,transitive,,,
enough, =nyamu,,,,cli,,,
"not knowing, ignorant",nyandu,,,,adjective,,,
"do not know,forget",nyandubi,,,,transitive,,,
not knowing ,nyanduyi,,,,adjective,,,
"ground, earth",nyani,,,,noun,,,
heavy (of weight),nyanjabara,,,,adjective,,,
"flame, light, glare",nyara,,,,noun,,,
light up (of fire),nyarabi,,,,intransitive,,,
type of a little bird with big eyes,nyaraga,,,,noun,,,
"light up, blaze up, burn without smoke",nyaranga,,,,transitive,,,
go to a light,nyarawubi,,,,intransitive,,,
(jalnguy?) fall down (-la past tense?),nyarraymbi-la,,,,intransitive,,,
"beneath, down",nyarraga,,,,adverb,,,
be/become low down,nyarrgabi,,,,intransitive,,,
"on the lower side, down below",nyarrgamali,,,,adverb,,,
"name, word",nyarri,,,,noun,,,
"no, not",nyawa,,,,adverb,,,
"be/become nothing, lose somthing",nyawabi,,,,intransitive,,,
"might be, possibly",nyawagada,,,,adverb,,,
unnecessary,nyawa=gul,,,,"adverb, adjective",,,
"cannot gety ..., cannot find",nyawanga,,,,transitive,,,
go around [ a place ],nyawu,,,,transitive,,,
,,,,,,,,
,NYI,,,,,,,
spider,nyibu,,,,noun,,,
sneeze,nyida,,,,intransitive,,,
"today, directly",nyila,,,,adverb,,,
"directly, just now (near past), for the first time",nyila=gul,,,,adverb,,,
"today, for the first time",nyila=guli,,,,adverb,,,
do .. for the first time,nyilagulnga,,,,transitive,,,
"new, young",nyilamu,,,,adjective,,,
"be young, be/become young again, look strange",nyilamubi,,,,intransitive,,,
"newly, again",nyilangal,,,,adverb,,,
"directly, just now (near past), for the first time",nyilangungal,,,,adverb,,,
"today, directly",nyilarru,,,,adverb,,,
everyday,nyilarru nyilarru,,,,adverb,,,
"[wait, etc.] until 'very soon', for a while",nyilawubi,,,,intransitive,,,
"directly, just now (near past), for the first time",nyilay or nyilayi,,,,adverb,,,
body hair,nyimbar,,,,noun,,,
quiet,nyimurru,,,,adjective,,,
"sit, stay",nyina,,,,intransitive,,,
sit down about,nyinanda,,,,intransitive,,,
"sit down with/on/in [someone/somthing], mind, marry",nyinari,,,,intransitive,,,
pinch make .. blunt,nyinda,,,,transitive,,,
"(1)  safe place (in a hole), (2) inside part of a female private part",nyinya,,,,noun,,,
(non future suff -l or (be) quiet,nyinyji-l,,,,intransitive,,,
be or sit quiet,nyinyjili,,,,intransitive,,,
coolibah ,nyirrbili,,,,noun,,,
tickle,nyirriginba,,,,transitive,,,
,,,,,,,,
,NYU,,,,,,,
father-in-law,nyubi,,,,noun,,,
snot,nyujuy,,,,n.II,,,
he/she,nyula,,,,pronoun,,,
spit ,nyumbu,,,,noun,,,
"moustache, whisker, beard",nyumbul,,,,noun,,,
smell (not warrungu?),nyumu,,,,transitive,,,
"do once, do for the first time",nyun.gudunga,,,,transitive,,,
"one, alone",nyun.gul,,,,adjective,,,
"do once, [stay] one night",nyun.gulbi,,,,intransitive,,,
do once,nyun.gulnga,,,,transitive,,,
"one for each, oone after another, one by one",nyun.gulnyun.gul,,,,adverb,,,
make [someone/something] his/hers,nyungunga,,,,transitive,,,
while he is out,nyuninda,,,,,,,
busy and not looking,nyurrngu,,,,adjective,,,
"be busy doing somthing and not looking, forget all about it",nyurrngubi,,,,intransitive,,,
"busy and not looking, not noticing ",nyurrngunyurrngu,,,,adjective,,,
be busy doing... ,nyurrngunyurrngubi,,,,intransitive,,,
"busy, looking somewhere else",nyurrnguyi,,,,adjective,,,
cousin,nyurrundu,,,,noun,,,
,,,,,,,,
,RA,,,,,,,
"fork, fork of a tree, everything fork shaped",raba,,,,noun,,,
"decend, go/come down",ragara,,,,intransitive,,,
forest ti-tree,ragaraga,,,,noun,,,
hide,ragi,,,,intransitive,,,
a bush country on herbert river near kirrama ,ragubanu,,,,noun,,,
"ankle, achilles tendon",ragul,,,,noun,,,
many,ralbarra,,,,adjective,,,
"be lame, be crippled, walk in such a way",ralmba,,,,intransitive,,,
"bed or strecher, used for carrying a dead body at a funeral (cofin)",ralmbarra,,,,noun,,,
"log , leaning tree. also adj???",ralnggubiri,,,,noun,,,
lean,ralnggubiri-jana,,,,intransitive,,,
stretcher for carrying corps at a funeral,ranba,,,,noun,,,
gap (of geography),randa,,,,noun,,,
lazy,rawurra-yi,,,,adjective,,,
(girramay?) lazy person,rawurran,,,,noun,,,
girl,rayi,,,,noun,,,
two girl,rayijarran,,,,noun,,,
many girls ,rayinba,,,,noun,,,
Used only in songs) good-looking girl (better then maburra),rayiwulnyju,,,,noun,,,
spew out,rayja,,,,transitive,,,
many teenage girls,rayli,,,,noun,,,
,,,,,,,,
,RI,,,,,,,
hot stone for cooking,riban,,,,noun,,,
everything used in the gabumari way of cooking,ribu,,,,noun,,,
wing,rigul,,,,noun,,,
lust,rilga,,,,noun,,,
lustful,rilga-yi,,,,adjective,,,
be/become lustful,rilgabi,,,,intransitive,,,
make lustful,rilganga,,,,transitive,,,
eyebrows,rimbi,,,,noun,,,
small bank (of river),rimbi,,,,noun,,,
"heap, a big mob",rimbu,,,,noun,,,
gather,rimbubi,,,,intransitive,,,
in a heap,rimbugarra,,,,adverb,,,
"heap up, collect",rimbunga,,,,transitive,,,
without notice,rinda,,,,adverb,,,
"tooth, seed, name",rirra,,,,noun,,,
,,,,,,,,
,RU,,,,,,,
any bird,rubiny,,,,noun,,,
meat,rubiny,,,,noun,,,
place name (from robert?) ,rubiyid,,,,noun,,,
"a place of kirrama road, on herbert river",rubu,,,,noun,,,
"(1) type of big fern called a bull rusher, a type of tall grass in swamp (bull rusher), (2) a lake near herberton, where many rubula grow (wolda lake?) (walters lake?)",rubula,,,,noun,,,
"sandid (scented?) gum tree in the rain forest, smell one",ruguy,,,,n.I,,,
(jalnguy?) food,ruja,,,,noun,,,
"(jalnguy) south, Cf. gulbila",rulbila,,,,noun,,,
heart,rulgu,,,,noun,,,
(jalnguy) south cf. gulbila,rulmila,,,,noun,,,
"(jalnguy) north, cf. gunggarri",runggarri,,,,noun,,,
"(jalnguy) west, cf. gunggarri",ruwa,,,,noun,,,
(jalnguy) on top. cf. guwamali,ruwamali,,,,adverb,,,
(jalnguy) give cf. guyba,ruyba,,,,transitive,,,
,,,,, ,,,
,WA,,,, ,,,
meaning unknown, =wa,,,,cli,,,
look up and look for (specifically possums),waba,,,,"transitive, intransitive",,,
smoko creek,wabajal,,,,noun,,,
"fast, hard, tight",wabarrgarra,,,,adverb,,,
play about,wada,,,,intransitive,,,
clap hands slowly,wada-balga,,,,"adverb,transitive",,,
run,wadali,,,,intransitive,,,
"make run, take [woman]",wadalinga,,,,intransitive,,,
play with,wadari,,,,transitive,,,
lower leg,waga,,,,noun,,,
"get up rise, climb",waga,,,,transitive,,,
???,waga-ri,,,,transitive,,,
sleepy,waga-yi,,,,adjective,,,
bushy country on herbert river,wagabulan,,,,noun,,,
flying fox,wagajala,,,,noun,,,
eel,wagal,,,,noun,,,
"(1) lift up, pick up; wake up, (2) choose, adopt (a child)",wagamba,,,,transitive,,,
"get up, ",wagara,,,,intransitive,,,
long pocket (a place),wagaraba,,,,noun,,,
get up,wagawa,,,,intransitive,,,
(loc: waga-ja) wish bone (of a fish),wagay,,,,n.I,,,
man's name in myth (named after wagay),wagaygurru,,,,noun,,,
(loc: wagumba-ja) pillow,wagumbay,,,,n.I,,,
crow,waja,,,,noun,,,
crow,wajagan,,,,noun,,,
native bee (smaller then wurriba and gurja),wajan,,,,noun,,,
testicles,wajila,,,,noun,,,
"cook, burn, make smoke",waju,,,,transitive,,,
I cooked,wajul-ngumay,,,,adjective,,,
I cooked,waju-ngumay,,,,adjective,,,
"be cooked, burn",wajuli,,,,intransitive,,,
"cook with (wood), in (fire), etc. ",wajuri,,,,transitive,,,
burn each other???,wajuwa,,,,transitive,,,
place on stone river (no one lives there,walba,,,,noun,,,
man who has intercourse with a relative or other man's wife,walira,,,,noun,,,
no good,walma,,,,adjective,,,
no good,walmajarri,,,,adjective,,,
spoil,walmanga,,,,transitive,,,
get up,walmba,,,,intransitive,,,
"wake up, lift up, pick up",walmbi,,,,transitive,,,
(djabugay?) get up,walmbirri,,,,intransitive,,,
"breath, ""wind"" (as in short-winded of english), life. (1) eager, keen, in love, (2) tired",walngga,,,,noun,,,
float (on the water),walngga,,,,intransitive,,,
"(1) short-winded, tired, (2) fond (of), keen, eager, want",walngga-yi,,,,adjective,,,
"want, like",walnggabi,,,,intransitive,,,
bushy area on herbert river,walnggagirra,,,,noun,,,
make... want to do ... ,walnggayinga,,,,transitive,,,
place on stone river.,walnyjanbarra,,,,noun,,,
bellyful,walnyjuwari,,,,adjective,,,
ear,walu,,,,noun,,,
"bad, not well, sick, ill ",walwa,,,,adjective,,,
"be/become bad, go bad, get wild",walwabi,,,,intransitive,,,
bad not well,walwajarri,,,,adjective,,,
go bad,walwajarribi,,,,intransitive,,,
"not well, tired, sick, mad",walwandan,,,,adjective,,,
"make bad, spoil, make sick",walwanga,,,,transitive,,,
"stupid, mad",wama,,,,adjective,,,
get lost,wama,,,,intransitive,,,
go mad,wamabi,,,,intransitive,,,
mad,wamal,,,,adjective,,,
make mad,wamanga,,,,transitive,,,
"be good, feel well",wamaybi,,,,intransitive,,,
"be good, feel well",wamaynbi,,,,intransitive,,,
"good, well, fine, glad, etc.",wamaynbiri,,,,adjective,,,
be good ,wamaynbiri,,,,intransitive,,,
feel well,wamaynbiribi,,,,intransitive,,,
"make good, do in a good way",wamaynb:iringa,,,,transitive,,,
"make good, do in a good way, tell the truth, cure",wamaynga,,,,transitive,,,
erect penis,wambawuru,,,,noun,,,
have an erect penis,wambawurubi,,,,intransitive,,,
"rest, lean",wambi,,,,intransitive,,,
"(1) man's name in myth, named after the verb wambi, (2) alec collins fathers name",wambinu,,,,noun,,,
a language of the west,wamin,,,,noun,,,
barking (of a dog) ,wan.gar,,,,noun,,,
"(1) blue pigeon in the scrub, (2) its cry",wan.gawa,,,,noun,,,
"fear, be frightened ",wanba,,,,intransitive,,,
frightened ,wanbalbarri,,,,adjective,,,
be frightened ,wanbalbi,,,,intransitive,,,
frightened ,wanbalbirri,,,,adjective,,,
"fear, be frightened ",wanbali,,,,intransitive,,,
(jalnguy) frightened,wanbaljarri,,,,adjective,,,
frighten ,wanbalnga,,,,transitive,,,
"fear, be frightened ",wanbalwanbali,,,,transitive,,,
frightened ,wanbari,,,,transitive,,,
"words, news, message",wanda,,,,noun,,,
"leave (place, work, person), stop",wanda,,,,transitive,,,
"man killer, man noted for killing, stranger, "" red man""?",wandabarra,,,,noun,,,
(jalnguy? cf. wadali) run,wandali,,,,intransitive,,,
moth,wandan,,,,noun,,,
lose,wandanga,,,,transitive,,,
leave ... alone,wandara,,,,transitive,,,
(jalnguy ?) leave??,wandari,,,,transitive,,,
"leave on each other/ one another, stop fighting",wandawa,,,,intransitive,,,
"mail man, message man",wandayi,,,,noun,,,
let go,wandaynga,,,,transitive,,,
"resst (on somthing), live (in a place)",wandi,,,,intransitive,,,
hang up,wandi,,,,transitive,,,
rest on ... ,wandiri,,,,transitive,,,
shoulder,wandula,,,,noun,,,
boomerang,wangal,,,,noun,,,
"the warrungu name of wangalgirra, which is about 1.5 miles from cashmere, (2) a boomerang-shaped gut",wangalgiri,,,,noun,,,
a place near abergowrie ?? [yelawatalu:] (yellow water),wangalgiri,,,,noun,,,
"a place on  herbert river, where the river runs in a boomerang-shap (warrgamay name?)",wangalgirra,,,,noun,,,
lung; a boomerang-shaped gut at the top of the guts (a half-moon shaped gut),wangalnggira,,,,noun,,,
east,wanggarri,,,,adverb,,,
persons of the east,wanggarribarra,,,,noun,,,
"send, look, etc. to the east",wanggarringa,,,,transitive,,,
small goanna,wanggu,,,,noun,,,
"place on the herbert river, where there is a big cliff",wanggundila,,,,noun,,,
"(1) hole (in minga, particularly), (2) well ",wanja,,,,noun,,,
(jalnguy?) run,wanjali,,,,intransitive,,,
bony dream,wanngaja,,,,noun,,,
where,wanyja,,,,adverb,,,
where from,wanyjabarra,,,,adverb,,,
"a place along herbert river, in niagara (?) district, between dumbilbulu and giwan ",wanyjalwanyjal,,,,noun,,,
on or to which side,wanyjamali,,,,adverb,,,
which one. conj (?) when,wanyjamara,,,,adverb,,,
when (not warrungu?),wanyjamira (not warrongo),,,,adverb,,,
"take to where, do how, do what",wanyjanga,,,,transitive,,,
"where to, whichway; how",wanyjangal,,,,adverb,,,
"(1) whichway (direction), (2) how",wanyjarri,,,,adverb,,,
"(1) go which way, (2) do how",wanyjarribi,,,,intransitive,,,
do how,wanyjarringa,,,,transitive,,,
which way (directional),wanyjarringal,,,,adverb,,,
"where to, ?? also where at ??",wanyjarru,,,,adverb,,,
go where,wanyjarrubi,,,,intransitive,,,
where to,wanyjarrungal,,,,adverb,,,
(only used in song) sick and groning,wanyji,,,,adjective,,,
(only used in song) sick,wanyjibaya,,,,adjective,,,
who,wanyu,,,,pronoun,,,
"jump, get up, dive",wara,,,,intransitive,,,
woman's name (alf palmers wife) (elizabeth palmer),warangan,,,,noun,,,
jump with [something],warari,,,,transitive,,,
jump about,warawara,,,,transitive,,,
jump,waraya,,,,intransitive,,,
one's own,wara-yi,,,,adjective,,,
people from the same place,warayi,,,,noun,,,
be going to jump ,warayi,,,,intransitive,,,
"[talk, etc.] one's own [language, etc.]",warayibi,,,,intransitive,,,
"do somthing to one's own..., carry one's own",warayinga,,,,transitive,,,
people from the same place,warayiwarayi,,,,noun,,,
"(jalnguy?) hawk, like sparrow hawk. cf. garrgay",warbula,,,,noun,,,
paddle,waril,,,,noun,,,
"in the wrong way, not properly, in the wrong direction, cannot... ",warra,,,,adverb,,,
enough,warrabi,,,,adjective,,,
put in the wrong place,warrajarga,,,,transitive,,,
"(suffix of kinship nouns) each one's ... , many ... ",-warray,,,,,,,
"(all) go away, spread, scatter",warrgarabi,,,,intransitive,,,
(loc:warrga-ja) place on herbert river and stone river,warrgay,,,,n.I,,,
sharp,warrjal,,,,adjective,,,
"raft, boat",warrjan,,,,noun,,,
the name of a fast leg dance,warrma,,,,noun,,,
"busy, active, lively",warrmanwarrman,,,,adjective,,,
"quick, fast",warrmawulu,,,,adjective,,,
"quick, fast",warrmay,,,,adjective,,,
thin,warrmba,,,,adjective,,,
thin (of person),warrmbawarrmba,,,,adjective,,,
(aboriginal) woman,warrngu,,,,noun,,,
place on herbert river near abergowrie. 'a woman stands/stood',warrngu-janan,,,,noun,,,
a man who is greedy for women,warrngujala,,,,noun,,,
two women,warrngujarran,,,,noun,,,
many women,warrngunba,,,,noun,,,
place on herbert river ,warruburan,,,,noun,,,
shell necklace,warrula,,,,noun,,,
"the warrungu language, warrungu persons",warrungu,,,,noun,,,
"(erg: waruga-ju) fishing line, fishing net",warugay,,,,n.I,,,
"brushtail rock wallaby; gorge wallaby, big and brown, live along a gorge, e.g. of herbert river, with a mark on the face, brushtail wallaby, coast wallaby??",warujala,,,,noun,,,
(jalnguy?) whistle,warumbi,,,,intransitive,,,
(probably not warrungu) back (used in a forein song),waruwaru,,,,adverb,,,
meaning unknown,waya,,,,adverb,,,
lower leg,wayal,,,,noun,,,
crippled,wayal-ngamba,,,,"noun, adjective",,,
"(1) place on herbert river near ravenshoe, (2) place on stone river  ",wayba,,,,noun,,,
white man,waybala,,,,noun,,,
be/become or do/behave like a white man,waybalabi,,,,intransitive,,,
how (is it) ?',wayi,,,,adverb,,,
dip a tool and get water,wayi,,,,transitive,,,
"burn, (food) makes ... sick, (1)",wayji,,,,transitive,,,
fresh water silver bream,wayli,,,,noun,,,
walk about,waymba,,,,intransitive,,,
go around,waymbarra,,,,intransitive,,,
sing out like a dog,wayuwayubi,,,,intransitive,,,
,,,,, ,,,
,WI,,,, ,,,
man's name (one of alf palmer's son: norris palmer),wilbanyu,,,,noun,,,
wild peanut,wilnyarri,,,,noun,,,
fish,win.gar,,,,noun,,,
"club, nullanulla, killing stick, fighting stick",wirrga,,,,noun,,,
"the last stage of the growth of a grub (jambun), in which it is grown-up and red-yellow",wirrmbany,,,,noun,,,
tail of a fish,wirrngga,,,,noun,,,
"one of the stages of grub, in which it has grown up a little",wirru,,,,noun,,,
,,,,, ,,,
,WU,,,, ,,,
(lie down) with legs apart,wubar,,,,adverb,,,
english bee,wubirri,,,,noun,,,
"take out, unroll [a swag], postpone, pull down [house], stop [talking], open [mouth], take off [clothes]",wuda,,,,transitive,,,
put out (fire),wudanga,,,,transitive,,,
come out,wudara,,,,transitive,,,
"(1) come out, (2) (instrumental) take out (e.g. cramp from the leg), take away",wudari,,,,intransitive,,,
"alseep, sleep",wuga,,,,"noun, adjective",,,
sleep,wuga wuna,,,,intransitive,,,
sleep,wugabi,,,,intransitive,,,
for two nights,wugabulari,,,,adverb,,,
for three nights,wugagarbu,,,,adverb,,,
"(on) the next day, (on) the day after tomorrow",wugaguman,,,,"noun, adverb",,,
do... until the next (or another) night,wugaguman.gubi,,,,intransitive,,,
"night after night, many nights",wugaguman.guman,,,,adverb,,,
night after night ,wugaguman.guman.guman,,,,adverb,,,
"camp day after day, night after nght (say, for about one week)",wugaguman.gumanbi,,,,intransitive,,,
camp for another night,wugagumanbi,,,,intransitive,,,
"jumping ant, big",wugaburu,,,,noun,,,
frog in the scrub over the ranger (edible),wugul,,,,noun,,,
(jalnguy?) eat. Cf. muja,wuja,,,,transitive,,,
grow up (of child),wuji,,,,intransitive,,,
"(not warrungu ?)  eagle hawk, carpet snake? (the symbol of a skin group)",wujurru,,,,noun,,,
"die, wither",wula,,,,intransitive,,,
(all) are dead,wulanda,,,,intransitive,,,
"lose, extinguish [fire]",wulanga,,,,transitive,,,
put out [fire],wulangga,,,,transitive,,,
might die,wulayi,,,,intransitive,,,
woman's name,wulbari,,,,noun,,,
boat,wulgu,,,,noun,,,
very dence fig-tree country on herbert river,wulmburan,,,,noun,,,
lance wood (with dark colour),wulmburru,,,,noun,,,
place on herbert river,wulmirri,,,,noun,,,
belly,wulu,,,,noun,,,
breast,wulun,,,,noun,,,
shade,wuma,,,,noun,,,
shady,wumawuma,,,,adjective,,,
(jalnguy. not warrungu) dog,wumbal,,,,noun,,,
"sit down, have a spell, not work to hard",wumbi,,,,intransitive,,,
"have a rest, have a spell",wumbilbi,,,,intransitive,,,
havea spell,wumbili,,,,intransitive,,,
(jalnguy ?) wommera,wumbun,,,,noun,,,
stoney creek in abergowrie area,wumbun,,,,noun,,,
"place between cashmere and gunawarra, between bagur and yirrinyjila 'a wommera drowned.'",wumbun-juyuran,,,,noun,,,
"big mob who are close together, crowd",wumburru,,,,noun,,,
wait for [woman],wumirri,,,,intransitive,,,
"lie, lie down, camp",wuna,,,,intransitive,,,
camping out,wunaja,,,,"noun, adverb",,,
camp about,wunaja,,,,intransitive,,,
camp out,wunajabi,,,,intransitive,,,
"camp out, sleep all the time",wunajajarri,,,,intransitive,,,
(jalnguy?) sleep,wunajali,,,,intransitive,,,
camping about,wunajawunaja,,,,adverb,,,
camp about,wunajawunajabi,,,,intransitive,,,
sleep about,wunanda,,,,intransitive,,,
"sleep with [a woman], sleep in [a house], etc.",wunari,,,,transitive,,,
(erg: wuna-ju) slowly,wunay,,,,adverb,,,
move slowly,wunaybi,,,,intransitive,,,
porcupine (a skin group),wun.gu,,,,noun,,,
an imaginary hairy man who i believed to live in lava area,wun.gumali,,,,noun,,,
place along waterfall creek,wunubu,,,,noun,,,
(loc: wunyurr-a) bushy country on herbert river,wunyurr,,,,noun,,,
"centre, middle",wura,,,,noun,,,
"second (e.g. second place in a race, etc.)",wuraguman,,,,,,,
"(the one) in the middle or centre, second (one), middle (one)",wuramali,,,,"adjective, adverb",,,
middle finger,wuranyiriny,,,,noun,,,
be in (the centre of) a mob,wurawubi,,,,intransitive,,,
(erg: wura-ju quiet good?,wuray,,,,"adjective, adverb",,,
topknot pigeon,wurguju,,,,noun,,,
"the day before yesterday, the night before, a couple of days ago",wurgulu,,,,adverb,,,
